,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8522920203735144,0.8573853989813243,0.8200000000000001,0.86
1,1,0.8166383701188454,0.8404074702886247,0.78,0.84
2,2,0.8404074702886248,0.7928692699490661,0.8200000000000001,0.8200000000000001
3,3,0.9286926994906621,0.8573853989813243,0.8200000000000001,0.8
4,4,0.8081494057724957,0.8726655348047538,0.8200000000000001,0.9
5,5,0.862478777589134,0.8879456706281833,0.78,0.84
6,6,0.898132427843803,0.901528013582343,0.8200000000000001,0.9
7,7,0.8404074702886247,0.8726655348047537,0.84,0.84
8,8,0.9558573853989812,0.9032258064516129,0.88,0.88
9,9,0.9694397283531409,0.8353140916808148,0.92,0.76
