,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9661297332995448,0.9863282817627196,0.8983050847457628,0.9397163120567376
1,1,0.9816418426620838,0.9828842001846487,0.9155405405405406,0.9115646258503401
2,2,0.986113520649932,0.9702297964382955,0.9488054607508533,0.8885017421602788
3,3,0.9852870146243354,0.9887475866313803,0.9387755102040817,0.950530035335689
4,4,0.9775739551358885,0.988174008109123,0.9081632653061225,0.9550173010380623
5,5,0.962854603271803,0.9822112014029574,0.8993055555555556,0.9134948096885813
6,6,0.985150127915683,0.9922221030737726,0.923841059602649,0.9377162629757786
7,7,0.9902825835324408,0.9797750145714116,0.9225589225589226,0.8927335640138409
8,8,0.9897824516070797,0.9862539313028024,0.9326241134751773,0.9326599326599326
9,9,0.9823713951473801,0.9843793271242314,0.89419795221843,0.927797833935018
