,train,val,test
0,normal_001,normal_030,normal_014
1,normal_003,normal_043,normal_103
2,normal_004,normal_015,normal_133
3,normal_007,normal_093,normal_111
4,normal_008,normal_082,normal_002
5,normal_009,normal_020,normal_153
6,normal_010,normal_045,normal_097
7,normal_011,normal_012,normal_024
8,normal_013,normal_041,normal_016
9,normal_018,normal_099,normal_033
10,normal_019,normal_091,normal_056
11,normal_021,normal_096,normal_134
12,normal_022,normal_074,normal_140
13,normal_025,normal_107,normal_119
14,normal_026,normal_060,normal_128
15,normal_027,normal_092,normal_073
16,normal_028,normal_067,normal_075
17,normal_029,normal_055,normal_160
18,normal_031,normal_110,normal_146
19,normal_034,normal_102,normal_149
20,normal_035,normal_155,normal_156
21,normal_037,normal_036,normal_109
22,normal_038,normal_052,normal_126
23,normal_039,normal_006,normal_123
24,normal_040,normal_085,normal_137
25,normal_042,normal_032,normal_079
26,normal_044,normal_017,normal_125
27,normal_046,normal_147,normal_121
28,normal_047,normal_145,normal_005
29,normal_048,normal_095,normal_023
30,normal_049,normal_129,normal_090
31,normal_050,tumor_111,tumor_002
32,normal_051,tumor_102,tumor_012
33,normal_053,tumor_094,tumor_035
34,normal_054,tumor_043,tumor_099
35,normal_057,tumor_036,tumor_109
36,normal_058,tumor_100,tumor_027
37,normal_059,tumor_006,tumor_079
38,normal_061,tumor_061,tumor_096
39,normal_062,tumor_008,tumor_104
40,normal_063,tumor_046,tumor_054
41,normal_064,tumor_052,tumor_068
42,normal_065,tumor_050,tumor_093
43,normal_066,tumor_066,tumor_023
44,normal_068,tumor_033,tumor_108
45,normal_069,tumor_065,tumor_018
46,normal_070,tumor_087,tumor_067
47,normal_071,tumor_042,tumor_076
48,normal_072,tumor_058,tumor_081
49,normal_076,tumor_092,tumor_088
50,normal_077,,
51,normal_078,,
52,normal_080,,
53,normal_081,,
54,normal_083,,
55,normal_084,,
56,normal_087,,
57,normal_088,,
58,normal_089,,
59,normal_094,,
60,normal_098,,
61,normal_100,,
62,normal_101,,
63,normal_104,,
64,normal_105,,
65,normal_106,,
66,normal_108,,
67,normal_112,,
68,normal_113,,
69,normal_114,,
70,normal_115,,
71,normal_116,,
72,normal_117,,
73,normal_118,,
74,normal_120,,
75,normal_122,,
76,normal_124,,
77,normal_127,,
78,normal_130,,
79,normal_131,,
80,normal_132,,
81,normal_135,,
82,normal_136,,
83,normal_138,,
84,normal_139,,
85,normal_141,,
86,normal_142,,
87,normal_143,,
88,normal_144,,
89,normal_148,,
90,normal_150,,
91,normal_151,,
92,normal_152,,
93,normal_154,,
94,normal_157,,
95,normal_158,,
96,normal_159,,
97,tumor_001,,
98,tumor_003,,
99,tumor_004,,
100,tumor_005,,
101,tumor_007,,
102,tumor_009,,
103,tumor_010,,
104,tumor_011,,
105,tumor_013,,
106,tumor_014,,
107,tumor_015,,
108,tumor_016,,
109,tumor_017,,
110,tumor_019,,
111,tumor_020,,
112,tumor_021,,
113,tumor_022,,
114,tumor_024,,
115,tumor_025,,
116,tumor_026,,
117,tumor_028,,
118,tumor_029,,
119,tumor_030,,
120,tumor_031,,
121,tumor_032,,
122,tumor_034,,
123,tumor_037,,
124,tumor_038,,
125,tumor_039,,
126,tumor_040,,
127,tumor_041,,
128,tumor_044,,
129,tumor_045,,
130,tumor_047,,
131,tumor_048,,
132,tumor_049,,
133,tumor_051,,
134,tumor_053,,
135,tumor_055,,
136,tumor_056,,
137,tumor_057,,
138,tumor_059,,
139,tumor_060,,
140,tumor_062,,
141,tumor_063,,
142,tumor_064,,
143,tumor_069,,
144,tumor_070,,
145,tumor_071,,
146,tumor_072,,
147,tumor_073,,
148,tumor_074,,
149,tumor_075,,
150,tumor_077,,
151,tumor_078,,
152,tumor_080,,
153,tumor_082,,
154,tumor_083,,
155,tumor_084,,
156,tumor_085,,
157,tumor_086,,
158,tumor_089,,
159,tumor_090,,
160,tumor_091,,
161,tumor_095,,
162,tumor_097,,
163,tumor_098,,
164,tumor_101,,
165,tumor_103,,
166,tumor_105,,
167,tumor_106,,
168,tumor_107,,
169,tumor_110,,
