,train,val,test
normal_001,True,False,False
normal_005,True,False,False
normal_006,True,False,False
normal_007,True,False,False
normal_010,True,False,False
normal_011,True,False,False
normal_012,True,False,False
normal_013,True,False,False
normal_015,True,False,False
normal_016,True,False,False
normal_017,True,False,False
normal_019,True,False,False
normal_027,True,False,False
normal_028,True,False,False
normal_029,True,False,False
normal_030,True,False,False
normal_031,True,False,False
normal_032,True,False,False
normal_033,True,False,False
normal_035,True,False,False
normal_036,True,False,False
normal_037,True,False,False
normal_039,True,False,False
normal_042,True,False,False
normal_043,True,False,False
normal_044,True,False,False
normal_045,True,False,False
normal_047,True,False,False
normal_048,True,False,False
normal_051,True,False,False
normal_054,True,False,False
normal_055,True,False,False
normal_056,True,False,False
normal_057,True,False,False
normal_060,True,False,False
normal_061,True,False,False
normal_063,True,False,False
normal_065,True,False,False
normal_066,True,False,False
normal_067,True,False,False
normal_070,True,False,False
normal_074,True,False,False
normal_076,True,False,False
normal_077,True,False,False
normal_079,True,False,False
normal_080,True,False,False
normal_081,True,False,False
normal_082,True,False,False
normal_084,True,False,False
normal_085,True,False,False
normal_087,True,False,False
normal_089,True,False,False
normal_090,True,False,False
normal_091,True,False,False
normal_092,True,False,False
normal_093,True,False,False
normal_094,True,False,False
normal_097,True,False,False
normal_098,True,False,False
normal_099,True,False,False
normal_100,True,False,False
normal_101,True,False,False
normal_103,True,False,False
normal_104,True,False,False
normal_105,True,False,False
normal_106,True,False,False
normal_109,True,False,False
normal_111,True,False,False
normal_112,True,False,False
normal_113,True,False,False
normal_115,True,False,False
normal_116,True,False,False
normal_117,True,False,False
normal_119,True,False,False
normal_120,True,False,False
normal_122,True,False,False
normal_125,True,False,False
normal_126,True,False,False
normal_127,True,False,False
normal_128,True,False,False
normal_129,True,False,False
normal_131,True,False,False
normal_132,True,False,False
normal_135,True,False,False
normal_138,True,False,False
normal_139,True,False,False
normal_140,True,False,False
normal_141,True,False,False
normal_143,True,False,False
normal_145,True,False,False
normal_146,True,False,False
normal_149,True,False,False
normal_150,True,False,False
normal_151,True,False,False
normal_153,True,False,False
normal_156,True,False,False
normal_158,True,False,False
tumor_001,True,False,False
tumor_003,True,False,False
tumor_004,True,False,False
tumor_005,True,False,False
tumor_006,True,False,False
tumor_007,True,False,False
tumor_008,True,False,False
tumor_011,True,False,False
tumor_012,True,False,False
tumor_013,True,False,False
tumor_014,True,False,False
