,train,val,test
0,TCGA-KL-8324-11A-01-TS1.d1ff930c-2558-43ac-bf66-8831cd4bdc50,TCGA-KM-A7QD-01Z-00-DX1.E1FCB533-0017-4A90-9835-6CD26FEA30CA,TCGA-UW-A72I-01Z-00-DX1.EAA44029-3390-4AEF-8B86-E4A1F64E486C
1,TCGA-KL-8324-01Z-00-DX1.d99a7299-8f9b-4881-8324-50ed2d63358c,TCGA-KM-A7QG-01Z-00-DX1.7275EEF1-1D4E-4471-89C3-5B99EC03515E,TCGA-UW-A72I-01A-01-TS1.6A1512C0-2946-46A6-A4DF-FDB5D791FE5A
2,TCGA-KL-8324-01A-01-TS1.20a2ebb7-ea3e-45cf-b401-be034131177e,TCGA-KN-8424-01A-01-TS1.9ea409e1-90b8-44e9-8d26-4ee43acc0f63,TCGA-KO-8408-01Z-00-DX1.4D45F809-E93A-4221-832A-97C3A4B4E30C
3,TCGA-KL-8324-01A-01-BS1.5668efb5-e446-4aef-a7c8-6662c1bba287,TCGA-KN-8424-01A-01-BS1.c102a431-a47b-4464-9532-b7bb6557f9a0,TCGA-KO-8408-01A-01-BS1.cb774d12-6f39-4669-b856-653e848d2a90
4,TCGA-KL-8325-01A-01-TS1.a899a903-f702-4de7-bc9a-ef58aa58bdb4,TCGA-KN-8424-11A-01-TS1.a9d5cfa2-c0e6-4d3b-836b-ff9aed45b000,TCGA-KO-8408-01A-01-TS1.d65fa121-7813-41c4-805b-4136a7e933bf
5,TCGA-KL-8325-01A-01-BS1.bff0bad0-1538-4fc7-80f8-a3f03980e1e5,TCGA-KN-8424-01Z-00-DX1.4EC063E2-A058-4610-9B47-FCE2172955B6,TCGA-KO-8408-11A-01-TS1.fcbcce04-7119-4f0f-8c42-3e9758df8030
6,TCGA-KL-8325-01Z-00-DX1.330bdb6c-86ee-4577-9846-298080b4c2ad,TCGA-UW-A72H-01A-01-TS1.0CA8D9B2-EE9B-493A-963F-A6B1F90CAAFC,TCGA-KL-8341-01A-01-BS1.8b809f3b-9a40-4dbe-bd3c-2ae9a56d5f59
7,TCGA-KL-8325-11A-01-TS1.812ee4d6-ce7e-4cdc-9ce9-5de331ccd823,TCGA-UW-A72H-01Z-00-DX1.25A52BAA-4000-4AC7-9B93-9D9790C8834A,TCGA-KL-8341-01Z-00-DX1.eb0da21c-75f5-4de5-a753-12666eff0030
8,TCGA-KL-8326-01A-01-TS1.56c60cff-8664-44c4-ab20-e3937966fd0a,TCGA-KM-8438-01Z-00-DX1.1106521B-3563-43AA-8971-18560BAC51C4,TCGA-KL-8341-01A-01-TS1.5dbe201c-1eda-4772-ae7c-317df15bfd4e
9,TCGA-KL-8326-11A-01-TS1.d7fbb3f2-2192-4e0c-a6fc-1e49794d8b2a,TCGA-KM-8438-01A-01-TS1.ccfece33-b806-4506-b1a3-2dfe9c63d824,TCGA-KL-8341-11A-01-TS1.553f8257-e1f3-4e51-9533-45f15647628e
